SERIES_CODE,שם סדרה,FREQ,תדירות,IR_FV_TYPE,סוג ריבית,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MEASURE,יחידות מידה,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-28,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-29,11.61
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-11-30,11.62
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-01,11.6
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-02,11.6
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-03,11.52
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-04,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-05,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-06,11.53
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-07,11.51
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-08,11.51
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-09,11.51
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-10,11.5
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-11,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-12,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-13,11.5
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-14,11.5
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-15,11.5
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-16,11.43
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-17,11.39
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-18,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-19,
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-20,11.34
TLBR_01M_D,ריבית תלבור ל-1 חודשים,D,יומי,TLBR_01M,ריבית תלבור ל-1 חודשים,RTRS,רויטרס,V,אחר,F,לא סודי,PT,אחוזים,0,יחידות,1999-12-21,11.37
