SERIES_CODE,שם סדרה,FREQ,תדירות,UNIT_MEASURE,יחידות מידה,DATA_ITEM,פריט,BALANCE_SHEET_SECTION,סיווג מאזני,DATA_TYPE,סוג נתון,COUNTERPART_SECTOR,מגזר נגדי,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-07,15330.8149495,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-08,16107.04165482,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-09,16705.99275038,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-10,16851.82640777,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-11,17406.54125767,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1996-12,17182.46926591,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-01,17635.36753832,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-02,17569.81915645,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-03,17484.1936661,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-04,17421.59577674,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-05,18787.09681312,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-06,18759.43948163,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-07,19175.77942466,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-08,19519.58585087,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-09,20306.64829022,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-10,20211.60766839,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-11,20487.22027466,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1997-12,20322.06008413,YP,תצפית משוחררת לציבור ופנימית ( Public)
ACC_MKM2600065_S_B_ME,"מק""ם",M,חודשי,ILS,"ש""ח",L1000,"מק""ם",L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,1998-01,21248.11496423,YP,תצפית משוחררת לציבור ופנימית ( Public)
