SERIES_CODE,שם סדרה,FREQ,תדירות,UNIT_MEASURE,יחידות מידה,DATA_ITEM,פריט,BALANCE_SHEET_SECTION,סיווג מאזני,DATA_TYPE,סוג נתון,COUNTERPART_SECTOR,מגזר נגדי,DATA_SOURCE,מקור נתונים,TIME_COLLECT,אופן חישוב בתקופת זמן,CONF_STATUS,סיווג סודיות,UNIT_MULT,מכפיל יחידות,TIME_PERIOD,OBS_VALUE,RELEASE_STATUS,שחרור תצפית
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-01-31,14229.74032407,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-02-28,14501.36959352,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-03-31,15040.63195807,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-04-30,15295.13884302,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-05-31,15383.78081417,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-06-30,15580.07914537,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-07-31,15926.86323047,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-08-31,16306.40645167,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-09-30,16957.06611717,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-10-31,16637.64212817,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-11-30,16432.72022382,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2001-12-31,16857.67849562,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-01-31,17271.00822802,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-02-28,17830.18580687,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-03-31,18517.31966637,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-04-30,18384.24130767,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-05-31,18520.17793527,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-06-30,18520.79247617,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-07-31,18351.85395367,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-08-31,18100.38852997,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-09-30,18454.07716647,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-10-31,18087.16511782,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-11-30,17745.89336062,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2002-12-31,18009.14085677,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2003-01-31,18335.84270217,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2003-02-28,18769.24705692,YP,תצפית משוחררת לציבור ופנימית ( Public)
CIC_VAL_TOT_M,שטרי כסף ומעות במחזור,M,חודשי,ILS,"ש""ח",L0100,שטרי כסף ומעות במחזור,L,התחייבויות,STK,יתרה,S1,סך המשק,BOI,בנק ישראל,E,סוף תקופה,F,לא סודי,6,מיליונים,2003-03-31,19042.75042752,YP,תצפית משוחררת לציבור ופנימית ( Public)
